cut_fraction,gate_type,candidate,categories,max_horizon_days,score,initial_cash,available_cash_end,locked_capital_end,open_positions_end,realized_profit,unrealized_profit_marked_at_cost,total_account_value,account_return,eventual_open_profit_audit_only,deployed,fees,entries,resolved_exits,hit_rate,gross_winnings,gross_losses,profit_factor,dollar_days_locked,annualized_return_on_locked_capital,max_drawdown,skipped,levels
0.7,market,sports_other,"other,sports",3,99.47833816024313,5000.0,5099.249999999971,0.29000000000000004,2,99.54000000000006,0.0,5099.539999999971,0.019907999999994264,0.24000000000000005,393.4299999999989,24.37109926163482,933,931,0.29108485499462944,352.32,-252.78000000000003,1.3937811535722762,471.6183975694443,77.03707104566513,0.005122493986769506,"{'horizon_gate': 1770, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 882, 'threshold_exit_insufficient_liquidity': 167, 'minimum_order': 182}",
0.7,market,sports_other,"other,sports",7,141.71059934612262,5000.0,5140.869999999961,1.03,4,141.89999999999995,0.0,5141.8999999999605,0.028379999999992078,-0.4999999999999999,583.5999999999979,37.62539910139441,1384,1380,0.2768115942028985,534.45,-392.55,1.3614826136797862,1379.0065387731493,37.55856012552248,0.004923783887101675,"{'horizon_gate': 1227, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 1324, 'minimum_order': 274, 'threshold_exit_insufficient_liquidity': 286}",
0.7,market,sports_other,"other,sports",14,122.501259272847,5000.0,5120.99999999994,1.78,5,122.77999999999977,0.0,5122.77999999994,0.024555999999988032,1.0499999999999998,650.0299999999974,42.27329884489173,1623,1618,0.26328800988875156,564.51,-441.73,1.277952595476875,1897.4072715277791,23.618914437866273,0.005987929563505517,"{'horizon_gate': 931, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 1590, 'minimum_order': 331, 'threshold_exit_insufficient_liquidity': 332}",
0.7,market,sports_other,"other,sports",30,110.43475715042814,5000.0,5099.739999999924,11.629999999999994,39,111.3699999999999,0.0,5111.369999999924,0.022273999999984806,-5.459999999999999,748.9499999999965,49.37489902873184,1868,1829,0.2531437944231821,622.5600000000001,-511.18999999999994,1.2178641992214247,3537.4284957175832,11.491412490517048,0.007297254654470751,"{'horizon_gate': 650, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 1813, 'minimum_order': 367, 'threshold_exit_insufficient_liquidity': 394}",
0.7,market,sports_other,"other,sports",60,118.02953370011535,5000.0,5099.389999999914,20.219999999999988,62,119.6099999999996,0.0,5119.609999999914,0.0239219999999829,-11.979999999999992,827.189999999995,55.26979909470229,2039,1977,0.25088517956499745,683.33,-563.72,1.212179805577237,5694.662998842595,7.666415029102338,0.009426938769102097,"{'horizon_gate': 433, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 1986, 'minimum_order': 413, 'threshold_exit_insufficient_liquidity': 442}",
0.7,market,sports_other,"other,sports",90,115.05142269347209,5000.0,5092.00999999991,25.00999999999999,79,117.01999999999987,0.0,5117.01999999991,0.023403999999981995,-15.42999999999999,864.1699999999939,58.36899880459167,2127,2048,0.25048828125,703.52,-586.5,1.1995225916453538,7180.773065277782,5.948147868163783,0.009276984243858491,"{'horizon_gate': 314, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 2081, 'minimum_order': 444, 'threshold_exit_insufficient_liquidity': 461}",
0.7,market,sports_other,"other,sports",180,103.60309123026597,5000.0,5050.9899999999025,56.65000000000003,148,107.63999999999977,0.0,5107.639999999902,0.02152799999998045,-44.60000000000002,924.7499999999944,62.525098983128515,2270,2122,0.25070688030160226,716.27,-608.63,1.1768562180635196,12044.087697337976,3.2620652545301216,0.009579372221988059,"{'horizon_gate': 126, 'untrained_level': 2698, 'category_gate': 1289, 'entry_liquidity_limited': 2232, 'minimum_order': 489, 'threshold_exit_insufficient_liquidity': 499}",
0.7,market,sports_other,"other,sports",none,93.05518464269656,5000.0,5025.419999999895,72.70000000000007,204,98.1199999999998,0.0,5098.119999999894,0.01962399999997877,-44.43000000000005,955.4699999999945,64.76099910600581,2368,2164,0.24861367837338263,717.72,-619.5999999999999,1.1583602324080053,14298.153573032416,2.504784958216418,0.010409784489545928,"{'entry_liquidity_limited': 2341, 'untrained_level': 2698, 'category_gate': 1289, 'threshold_exit_insufficient_liquidity': 512, 'minimum_order': 517}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",1,74.47947792288193,5000.0,5074.509999999981,0,0,74.50999999999998,0.0,5074.509999999981,0.014901999999996196,0.0,396.58999999999907,24.446399187219157,884,884,0.3042986425339366,326.96999999999997,-252.45999999999998,1.2951358631070269,305.2207711805556,89.10320845730355,0.005135424673136,"{'horizon_gate': 3137, 'untrained_level': 2698, 'entry_liquidity_limited': 797, 'category_gate': 6, 'threshold_exit_insufficient_liquidity': 155, 'minimum_order': 147}",
0.7,market,positive_lcb,"crypto,economics,other,politics,sports,weather",3,66.83127429400461,5000.0,5066.439999999953,0.49,4,66.92999999999999,0.0,5066.929999999953,0.013385999999990572,0.040000000000000036,588.2999999999986,37.27729822410868,1341,1337,0.2991772625280479,449.09,-382.16,1.1751360686623402,742.2570599537053,32.91238483002596,0.00807822199606094,"{'horizon_gate': 2570, 'untrained_level': 2698, 'entry_liquidity_limited': 1259, 'threshold_exit_insufficient_liquidity': 269, 'category_gate': 6, 'minimum_order': 257}",
